,GalaxyName,RA_hr,RA_min,RA_sec,Dec_deg,Dec_arcmin,Dec_arcsec,EB-V,m-M,m-M_err_pos,m-M_err_neg,vh(km/s),Vmag,Vmag_err_pos,Vmag_err_neg,PA,e=1-b/a,muVo,rh('),rh_err_pos,rh_err_neg,vsig_s,vsig_err_pos,vsig_err_neg,vrot_s,vrot_s_err_pos,vrot_s_err_neg,MHI,Data,Key,vsig_g,vsig_g_err_pos,vsig_g_err_neg,vrot_g,note,M-m,Notes,ra,dec,M_V,dist_kpc,M_dyn,M_*,vh_(km/s)_err,vsig_s_upper_limit,vsig_s_err,vh(km/s)_err,orb_pericenter,orb_apocenter,orb_eccentricity,orb_period,orb_period_type,orb_pericenter_0.8,orb_apocenter_0.8,orb_eccentricity_0.8,tau_50,tau_90,dist_pc,dist_mpc,Radius,gal_interference_min,gal_interference_max,Galactic Interference Range,MHI_computed,MHI_source,MHI_type,1sigma,rh_subtable,MHI_method,npix,GUU,GRU,HUU,HRU,GNV,HNV,LIT,1sigma_GUU,1sigma_GRU,1sigma_HUU,1sigma_HRU,1sigma_GNV,1sigma_HNV,M_star,M_dyn_r_h,Other names,Morphology,rh_pc,rh_pc_err_pos,rh_pc_err_neg,vsig_s_ref,vsig_err_pos_ref,vsig_err_neg_ref,M_V_ref,rh_pc_ref,rh_pc_err_pos_ref,rh_pc_err_neg_ref,vh(km/s)_ref,dist_kpc_ref,refs,rh_pc_ref_err_pos_ref,rh_pc_ref_err_neg_ref,dist,vsig_s_err_pos,vsig_s_err_neg,vsig_s_err_pos_ref,vsig_s_err_neg_ref,m-M_err,Vmag_err,vsig_err,MHI_mcconnachie,vsig_g_err,GalaxyType,A_V,b_100M,b_1G,f_10G,mean_logz,Disturber,D,Theta,RA,Dec,OtherName,Subgroup,mateo_1,mateo_b,mateo_l,[Fe/H],[Fe/H]_err,sigma_[Fe/H],sigma_[Fe/H]_err,Ref1_Mateo98_Tab6,12 + log(O/H),log(O/H)_err,[N/O],[N/O]_err,Ref2_Mateo98_Tab6,Notes_Mateo98_Tab6,l,b,V_LSR,V_GSR,V_LGSR,X,Y,Z,angle_from_l=0,angle_from_MW_plane,M_dyn_calculated,M_dyn_method,MHI/M_star,MHI/M_dyn,MHI/M_V,L_V,MHI/L_V,r_ell,ell_surf_dist,mw_dist,m31_dist,r_per_mean,r_per_median,r_per_std,r_per_err1,r_per_err2,v_per_mean,v_per_median,v_per_std,n_halo_peri,n_halo_peri_err1,n_halo_peri_err2,r_apo_mean,r_apo_median,r_apo_std,r_apo_err1,r_apo_err2,v_apo_mean,v_apo_median,v_apo_std,n_halo_apo,n_halo_apo_err1,n_halo_apo_err2,ell_surf_log10_abs,min_dist_mw_or_m31,Closer_MW_M31
0,#TheGalaxy,17.0,45.0,40.0,-29.0,0.0,28.0,9.999,99.99,9.99,9.99,,,9.9,9.9,999.9,9.99,,,9.99,9.99,,99.9,99.9,,99.9,99.9,99.9,x,u,,99.9,99.9,,,,,,,,0.008,1346887.2278484476,,,,,,,,,,,,,,,,8.0,8e-06,0.23268707730346883,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23268707730346883,,,True,True,True,False,False,,,True,,,False,False,True,,,,,,,,,,,,,,,,,,,17 45 40,-29 00.5,,MW,,0.0,0.0,,,,,,,,,,,,359.95748572243156,-0.03791990137142247,,,,-0.0004373441736450129,-0.006983803664788064,-0.00387752710441482,0.042514277568443504,0.03791990137142247,1346887.2278484476,M_dyn_calc_vsig_s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,#*CanisMajor,7.0,12.0,35.0,-27.0,40.0,0.0,0.264,14.29,0.3,0.3,87.0,-0.1,0.8,0.8,123.0,9.99,24.0,,9.99,9.99,20.0,3.0,3.0,,99.9,99.9,99.9,x,u,,99.9,99.9,,,,,,,-14.389999999999999,7.21107479182899,48659793.608294815,,,,,,,,,,,,,,,,7211.07479182899,0.00721107479182899,209.74048969092595,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.74048969092593,,,True,True,True,False,False,,,True,,,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.7856569218252,-7.399238615757309,71.29583723321684,-115.28900243310036,-112.8427431256282,-2.0127439399571805,6.141357218390801,-3.1987799239141728,121.2143430781748,7.399238615757309,48659793.608294815,M_dyn_calc_vsig_s,,,,48752849.010338604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SagittariusdSph,18.0,55.0,19.5,-30.0,32.0,43.0,0.153,17.1,0.15,0.15,140.0,3.6,0.3,0.3,102.0,0.64,25.2,342.0,12.0,12.0,11.4,0.7,0.7,,0.0,0.0,0.0,x,u,,0.0,0.0,,,17.1,"(I don’t understand where the limit in GP or Mateo is from, Spekkens has <7880 from GASS, K94 has <10000) SKIP THERE ARE DEEPER LIMITS FOR THE CORE ",,,-13.500000000000002,26.302679918953842,197237510.1594154,,,,,,,,,,,,,,,,26302.679918953843,0.026302679918953843,2616.6872321379433,,,,122.45408185265198,HI4PI,upper_limit,0.025,,hi4pi_unresolved_undetected,,,,122.45408185265198,,,,,,,0.025,,,,21,190.0,,dSph,2616.6872321379437,,,True,True,True,False,False,,,True,,,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.599240337924573,-13.731162328849202,148.36296233083524,172.92364599463554,125.86805661083461,5.475241822109258,-22.238823333720806,-12.933964382196143,6.599240337924573,13.731162328849202,197237510.1594154,M_dyn_calc_vsig_s,5.831146754888189e-06,6.208458104834095e-07,-9.070672729826072,21478304.741305374,5.70129176057168e-06,480.503457821674,-211.75692827477158,18.587575790781678,786.9893232008902,15.410785473367605,15.387080949469302,1.6084209729654064,1.55900203696614,1.5595601740053784,358.1088461548053,357.0014044504946,7.187675873654529,0.00037488135822955684,4.919104439510388e-05,5.0383385512962565e-05,53.0078627390412,51.34609354713739,11.895713239110147,9.282125956360254,12.227628651642144,104.53611713455368,105.27822571819121,8.764285753829832,0.004338470472258122,0.0007530949549534384,0.00104150811469755,-2.325837628505833,18.587575790781678,MW
3,TucanaIII,23.0,56.0,36.0,-59.0,36.0,0.0,9.999,17.01,0.16,0.16,-102.3,14.6,0.4,0.4,999.9,9.99,,6.0,0.8,0.6,1.2,,,,99.9,99.9,99.9,x,u,,99.9,99.9,,,17.01,"- Simon et al. 2017 V_hel = -102 km/s, velocity dispersion of 0.1 km/s, D=25 kpc",,,-2.410000000000002,25.0,36784.719211852695,,,1.2,,,2.0,33,0.86,0.7,value,3.0,47,0.89,,,25234.807724805756,0.025234807724805755,44.04300671917229,,,,91.89114490090122,HI4PI,upper_limit,0.0203817,6.0,hi4pi_unresolved_undetected,,,,91.89114490090122,,,,,,,0.0203817,,,,,,,,44.04300671917229,9.0,-  9,True,False,False,True,True,,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.2180391913645,-57.2913069576121,-109.16546734281917,-191.4210920596809,-201.11495128559162,13.098206150601872,-0.19433005657438016,-21.29317335357619,43.78196080863552,57.2913069576121,36784.719211852695,M_dyn_calc_vsig_s,,0.002498079280466337,-38.12910576800878,787.0457896951001,0.1167545092090508,478.610426143024,-208.30470891633556,23.298940712126683,783.8326858955156,2.687072355035318,2.678438975457728,0.2968930740206526,0.30396312994932106,0.2990341712622082,528.4898724299518,528.4882839184606,9.843028303733947,4.630677703543865e-07,4.179072557448652e-07,8.969497458838743e-07,36.90427426606299,36.877003226548936,1.843483541024512,1.830763206896528,1.745390431430586,36.93955225569278,37.089534246012036,3.743090269139654,9.774080315062322e-05,8.900940415701896e-05,0.0001771765580035613,-2.3186990876782545,23.298940712126683,MW
4,DracoII,15.0,52.0,47.6,64.0,33.0,55.0,0.016,16.9,0.3,0.3,-342.5,14.0,0.8,0.8,70.0,0.24,,2.7,1.0,0.8,5.9,,,,99.9,99.9,99.9,x,u,,99.9,99.9,,,16.9,"- Martin et al. 2016 V_hel -347 km/s, dispersion of 2.9 km/s, (9 stars)",,,-2.8999999999999986,21.5,380383.34243250143,,,,,,19.0,62,0.53,,,20.0,262,0.86,,,23988.329190194898,0.023988329190194897,18.840371991426434,,,,70.60196425864088,HI4PI,upper_limit,0.017329400000000002,2.7,hi4pi_unresolved_undetected,,,,70.60196425864088,,,,,,,0.017329400000000002,,,,,,,,18.840371991426434,4.0,-  3,True,False,False,True,True,,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.29423509258311,42.87998519914984,-329.98672987758215,-170.4612127407101,-158.71892062866004,-4.8660714694469736,-7.847660123071937,19.416116476962657,98.29423509258311,42.87998519914984,380383.34243250143,M_dyn_calc_vsig_s,,0.00018560740280357862,-24.34550491677273,1235.9474334445094,0.057123759755605096,464.95900817697344,-213.92402692582775,26.12657612171909,770.2616026885107,20.01653887704675,20.00593284428919,0.7589258270484732,0.6991487470176914,0.7155602539017423,380.89035383355383,380.13600254910006,15.64401146430225,2.008235173550042e-05,1.803691955427852e-05,4.025462137234847e-05,102.489786610892,97.20549554351828,28.013692798031524,18.441742478794783,26.11057240558318,77.31424383357182,77.7773756655736,12.929979281161067,0.0005211927520343307,0.0004602045206877115,0.0009592863734034176,-2.3302595651946736,26.12657612171909,MW
5,Segue1,10.0,7.0,4.0,16.0,4.0,55.0,0.031,16.8,0.2,0.2,208.5,15.3,0.8,0.8,85.0,0.48,27.6,4.4,1.2,0.6,3.9,0.8,0.8,,0.0,0.0,1.67,gs,u,,0.0,0.0,,,16.8,"148+18s.mir stdev (0.04K/9.1K/Jy)*5 = 0.02 Jy limit  (from standard sqrt(.74/9.6) would have expected something more like 0.02K, it looks like the scan artifacts have probably caused this, emphasizes importance of checking each.  yes the baseline is really nasty, but it also looks like a 0.2K would stick out easily)  Spekkens quotes 5.5 mJy (5 sigma) so hers is much deeper, all of them look like they would be much deeper…. in theory should reach the alfalfa level of 2 mJy (1 sigma) in some regions of DR1.   Ah but she is using 15 km/s smooth (and width).  I get a segue mass limit of 25 with 0.02*10*.236*23^2 so factor of 10 on GP.   Probably stick with my method and just footnote Spekkens limit in table or text  I DON’T KNOW I THINK WHEN DEEPER WITH HER PAPER JUST ADOPT THAT",,,-1.5,22.90867652767775,258663.7642074663,,,,,,,,,,,,,,,,22908.676527677748,0.022908676527677748,29.320973520989625,,,,46.65675611252086,GALFA-HI,upper_limit,0.017123,,galfa_resolved_undetected,,,46.65675611252086,,,,,,,0.017123,,,,,0.00034,0.26,,dSph,29.32097352098963,,,True,True,True,False,False,,,True,,,False,False,True,,,,,,,,,,,,,,,,,,,,,Segue (I),,,,,,,,,,,,,,,,220.47815755598208,50.425828851426765,204.57149167709545,113.58753654631657,100.11184186104856,-19.39335515466876,10.413156735700055,6.345975330270413,139.52184244401792,50.425828851426765,258663.7642074663,M_dyn_calc_vsig_s,0.1372257532721202,0.00018037608110851934,-31.104504075013907,340.4081897010009,0.13706120335560093,483.93407424590106,-202.98532303726975,27.768801777165717,787.9720949392586,18.64205485403816,18.918731002573406,4.941686970006018,5.578620500845879,4.856660306693024,324.2666765129225,318.7945440380082,18.46306368541107,5.3552233936490945e-05,1.9705638166402767e-05,2.4546367659460024e-05,46.368447523135316,41.94907580934786,16.038689402779447,7.714006044637401,15.921847568523107,129.12252464343135,132.66611889424604,12.013673646180756,0.0003276297763213548,0.00011746729014865825,0.0001751775342102728,-2.3074646371528114,27.768801777165717,MW
6,Reticulum2,3.0,35.0,42.1,-54.0,2.0,57.0,9.999,17.4,0.2,0.2,64.0,14.7,0.1,0.1,71.0,0.59,,3.64,0.21,0.12,3.4,99.9,99.9,,99.9,99.9,99.9,x,u,,99.9,99.9,,,17.4,"- Walker et al., Koposov et al. (2015), V_hel=64 km/s, dispersion 3.2-3.6 km/s, D=30 kpc",,,-2.6999999999999993,30.19951720402013,214394.14487273115,,,,,,,,,,,,,,,,30199.51720402013,0.03019951720402013,31.976217765292205,,,,132.74892698458365,HI4PI,upper_limit,0.0205588,3.64,hi4pi_unresolved_undetected,,,,132.74892698458365,,,,,,,0.0205588,,,,,,,,31.976217765292205,,,True,True,True,False,False,,,True,,,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.1579504414533,-49.77763906622343,50.53411179903493,-91.21286281542321,-87.57828128674146,10.464702893477122,14.364070001977604,-24.416681299583825,93.8420495585467,49.77763906622343,214394.14487273115,M_dyn_calc_vsig_s,,0.000619181680840147,-49.166269253549515,1028.0162981264725,0.12913115018362492,483.3324150913263,-200.00245088360666,31.610186130125467,785.9287546746663,25.4981523479432,25.732681397631932,3.1601570780665367,3.3772849709654587,2.9465405707021897,298.91115777705903,297.3596668753233,5.57180152262868,4.447613297259381e-05,3.154812763700094e-05,5.301417149295087e-05,54.96079538209652,53.459432042504126,10.559842570925571,8.457136554619254,11.336070110047288,138.96566387683504,141.17419420493655,7.396404126870147,0.00020708421878301564,0.00014581500119889286,0.00024680195059454985,-2.301035317657503,31.610186130125467,MW
7,CetusII,1.0,17.0,52.8,-17.0,25.0,12.0,9.999,17.38,0.19,0.19,,17.4,0.7,0.7,999.9,9.99,,1.9,1.0,0.5,,,,,99.9,99.9,99.9,x,u,,99.9,99.9,,,17.38,NEW not seeing velocity ref for this one,,,0.019999999999999574,30.0,,,,,,,,,,,,,,,,,29922.64636608189,0.02992264636608189,16.537859965255063,-20.0,10.0,,126.78365080182249,HI4PI,upper_limit,0.02,1.9,hi4pi_no_velocity,,,,,,,126.78365080182249,,,,,,,0.02,,,,,16.537859965255063,9.0,-  5,False,False,False,True,True,,,False,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.41624317093473,-77.8038631855293,,,,27.10847878647717,9.583644881997417,-8.560614969666728,154.41624317093473,77.8038631855293,,,,,6339.182540091259,83.94599865193977,1.5103001076620446,459.4567703427804,-213.28865005682763,32.46457120677179,763.7548925235492,,,,,,,,,,,,,,,,,,,,,,,-2.3289677455158184,32.46457120677179,MW
8,TriangulumII,2.0,13.0,17.4,36.0,10.0,42.0,0.081,17.4,0.1,0.1,-381.7,15.6,0.5,0.5,56.0,0.21,,3.9,1.1,0.9,3.4,,,,99.9,99.9,2.2,gs,u,,99.9,99.9,,,17.4,"36+34s.mir  Martin et al. v_hel = -384 km/s, disp controversial?  DOUBLE CHECK LIMIT from -650 to 650 km/s looks like GIZ is -80 to 30 km/s, not seeing anything in spectrum, stdev is pretty uniform 0.11K  (is the noise higher here because of the declination and stray, see what others have) (nice little group at 550-600 km/s)  (0.11K/9.1K/Jy) *5 = 0.06 Jy",,,-1.799999999999999,28.4,229708.0123636405,,,3.4,,,16.0,92,0.71,10.0,lower_limit,19.0,415,0.91,,,30199.51720402013,0.03019951720402013,34.26023331995593,,,,121.39229076162876,HI4PI,upper_limit,0.0188,,hi4pi_unresolved_undetected,,,157.96494687194073,121.39229076162876,,,,,,0.03336,0.0188,,,,,,,,34.26023331995593,4.0,-  4,True,False,False,True,True,,,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.899123340276,-23.821265949285714,-383.9930170626514,-257.0619738895041,-175.8322170144475,19.155115816856267,12.593329982964864,16.76453333627217,140.899123340276,23.821265949285714,229708.0123636405,M_dyn_calc_vsig_s,,0.0005284634589474312,-67.44016153423824,448.74538993313183,0.27051484758365446,443.5932025254233,-227.0856212001577,36.41756690401115,750.3912269210847,17.76320920427826,17.56640343375894,3.1202011180265603,2.1235441926460155,2.160148555360159,425.4646668091629,425.7329098315613,8.25374405959071,6.001574776083862e-06,5.335229952600486e-06,1.0321726663776255e-05,151.6138877092067,144.34331120832312,35.16874195640728,23.339451663364255,37.122021027620114,50.01489001164639,50.88092426426144,4.744588987065294,0.0004386348306556734,0.0003883927482101446,0.0007631701619657532,-2.356189636064186,36.41756690401115,MW
9,UrsaMajorII,8.0,51.0,30.0,63.0,7.0,48.0,0.094,17.5,0.3,0.3,-116.5,13.3,0.5,0.5,98.0,0.63,27.9,16.0,1.0,1.0,5.6,1.4,-1.4,,0.0,0.0,0.0,x,u,,0.0,0.0,,,17.5,"130.0  60.0 CAR CAR_H07.fits stdev 0.02K, if back out is correct * 0.6 Jy/K = 0.012 Jy * 5 = 0.06 Jy for mass 0.06*10*.236*32^2 = 145 Msun  E 130.0 60.0 CAR CAR_D07.fit 0.05K  imstat gives a similar rms, back out gibes 0.05 K * 0.26 Jy/K = 0.013 Jy",,,-4.199999999999999,34.7,2677008.4342501047,,,,,,38.0,65,0.26,3.5,value,39.0,196,0.67,,,31622.776601683792,0.03162277660168379,147.17894716804327,,,,93.57211199999998,HI4PI,upper_limit,0.0132164,6.0,hi4pi_resolved_undetected,25.0,,,,93.57211199999998,,,,,,,0.0132164,,,0.0041,3.9,,dSph,147.17894716804324,9.0,-  9,True,True,True,True,True,,,True,,,True,True,True,1.4,-1.4,,,,,,,,,,,,,,,,,,,,,,,,-2.18,0.05,0.66,0.6,,,,,,,,152.4642549338653,37.44290116255897,-114.17581535034188,-33.425026507088674,3.627327010321217,-10.670921618196944,11.493332044026198,30.95359026581663,152.4642549338653,37.44290116255897,2677008.4342501047,M_dyn_calc_vsig_s,0.02282246634146341,3.495398475508046e-05,-22.279074285714284,4092.6065973001055,0.022863695734090236,465.19390854877287,-205.00631443500924,37.78371882720685,766.6608801849444,38.847441696006534,38.95185684444118,2.8204782756067313,2.7727726424406707,2.6856155147868748,299.7106989253502,297.5571150379934,20.19468551228286,0.00018292199063451683,6.950371992448301e-05,9.712813617045407e-05,109.39879868760616,97.9287484694912,47.893649818489536,26.799801341459,47.498413889326045,116.70050400987472,118.1992270759236,24.896717169356297,0.0011670871853451796,0.00048365766060771775,0.0011237090966930157,-2.3117672380413494,37.78371882720685,MW
